Time,Freq_T,Freq_M,Temp_C,Uncomp_thick_nm,Comp_thick_nm
1768498607,5983549.4775390625,6570444.49609375,121118.46300386351,-275.23325820337885,-87963198.88850048
1768498607,5983549.4716796875,6570444.4921875,121118.46305397872,-275.5505299707603,-87963199.31504118
1768498607,5983549.4619140625,6570444.4921875,121118.46316485298,-275.5505299707603,-87963199.55678645
1768498607,5983549.4599609375,6570444.494140625,121118.46319523249,-275.39189408706955,-87963199.4643887
1768498607,5983549.4521484375,6570444.48828125,121118.46325931774,-275.8678017381417,-87963200.08002497
1768498608,5983549.44140625,6570444.3974609375,121118.46299976137,-283.2443703297596,-87963206.89066844
1768498608,5983549.4326171875,6570444.3544921875,121118.46291904483,-286.7343597709552,-87963210.20466717
1768498608,5983549.4228515625,6570444.2548828125,121118.46261147967,-294.82478983918134,-87963217.62449586
1768498608,5983549.4052734375,6570444.15234375,121118.46238030684,-303.1531737329435,-87963225.44884084
1768498608,5983549.4150390625,6570444.1005859375,121118.46205200846,-307.35702465074723,-87963228.93688464
1768498608,5983549.4189453125,6570444.0244140625,121118.46168767574,-313.54382411468487,-87963234.3293093
1768498608,5983549.4287109375,6570443.9912109375,121118.46143732156,-316.2406341374269,-87963236.48025829
1768498608,5983549.4384765625,6570443.9091796875,121118.46098185073,-322.90334125243663,-87963242.14987716
1768498608,5983549.44140625,6570443.873046875,121118.46079680158,-325.83810510071476,-87963244.68116808
1768498609,5983549.4384765625,6570443.7890625,121118.4604772617,-332.6594480994153,-87963250.80580062
1768498609,5983549.380859375,6570443.67578125,121118.46065554752,-341.8603293534763,-87963260.39540832
1768498609,5983549.359375,6570443.6611328125,121118.46083793548,-343.0500984811566,-87963261.98284797
1768498609,5983549.3447265625,6570443.5498046875,121118.46053657928,-352.092343851527,-87963270.36802977
1768498609,5983549.34765625,6570443.2724609375,121118.45933825095,-374.6186393356076,-87963290.28154378
1768498609,5983549.3486328125,6570443.2021484375,121118.45903179445,-380.32953114847305,-87963295.32425159
1768498609,5983549.3427734375,6570443.107421875,121118.45870039154,-388.02337150747235,-87963302.29551588
1768498610,5983549.3447265625,6570443.09375,121118.45862078367,-389.13382269330737,-87963303.23239361
1768498610,5983549.3505859375,6570443.044921875,121118.45834914179,-393.0997197855751,-87963306.60601489
1768498610,5983549.3447265625,6570442.9775390625,121118.45813260436,-398.5726577729045,-87963311.60682438
1768498610,5983549.3466796875,6570442.978515625,121118.45811453203,-398.49333983105925,-87963311.48810235
1768498610,5983549.3486328125,6570442.9677734375,121118.45804723114,-399.3658371913581,-87963312.21385986
1768498610,5983549.3466796875,6570442.95703125,121118.4580242805,-400.238334551657,-87963313.03631666
1768498610,5983549.34765625,6570442.9462890625,121118.45796806714,-401.1108319119559,-87963313.78624897
1768498610,5983549.3505859375,6570442.9384765625,121118.45790198629,-401.7453754467187,-87963314.27671275
1768498610,5983549.3583984375,6570442.9619140625,121118.45791174311,-399.8417448424302,-87963312.3943555
1768498611,5983549.373046875,6570442.982421875,121118.457831581,-398.17606806367775,-87963310.55389684
1768498611,5983549.396484375,6570442.98046875,121118.45755727818,-398.33470394736844,-87963310.11445515
1768498611,5983549.423828125,6570442.974609375,121118.45722221604,-398.8106115984406,-87963309.85980831
1768498611,5983549.4580078125,6570442.978515625,121118.45685056553,-398.49333983105925,-87963308.73220646
1768498611,5983549.4609375,6570442.98046875,121118.4568255081,-398.33470394736844,-87963308.51893647
1768498611,5983549.443359375,6570442.982421875,121118.45703328638,-398.17606806367775,-87963308.81333104
1768498611,5983549.4208984375,6570442.9833984375,121118.45729239951,-398.0967501218324,-87963309.29897176
1768498611,5983549.3828125,6570442.98046875,121118.45771250199,-398.33470394736844,-87963310.45289817
1768498611,5983549.3486328125,6570442.9814453125,121118.45810466408,-398.2553860055231,-87963311.22863291
1768498612,5983549.349609375,6570442.982421875,121118.4580976792,-398.17606806367775,-87963311.13408543
